carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
588000,2025-12-01T09:49:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:48:00,2025-12-01 09:49:00,117480.0,1.39,1.39,1.388,1.389,482,10926400.0,13900,13910,13880,13890,0,0,False,-10808920.0,True,False,True,True,False,False
588000,2025-12-01T09:49:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:48:00,2025-12-01 09:49:00,117480.0,1.39,1.39,1.388,1.389,482,10926400.0,13900,13910,13880,13890,0,0,False,-10808920.0,True,False,True,True,False,False
588000,2025-12-01T09:49:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:49:00,2025-12-01 09:50:00,117480.0,1.39,1.39,1.388,1.389,411,10790100.0,13880,13900,13870,13890,0,0,False,-10672620.0,False,True,False,True,False,False
588000,2025-12-01T09:49:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:49:00,2025-12-01 09:50:00,117480.0,1.39,1.39,1.388,1.389,411,10790100.0,13880,13900,13870,13890,0,0,False,-10672620.0,False,True,False,True,False,False
588000,2025-12-01T09:50:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:49:00,2025-12-01 09:50:00,107603.0,1.389,1.39,1.387,1.389,411,10790100.0,13880,13900,13870,13890,0,0,False,-10682497.0,False,True,True,True,False,False
588000,2025-12-01T09:50:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:49:00,2025-12-01 09:50:00,107603.0,1.389,1.39,1.387,1.389,411,10790100.0,13880,13900,13870,13890,0,0,False,-10682497.0,False,True,True,True,False,False
588000,2025-12-01T09:50:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:50:00,2025-12-01 09:51:00,107603.0,1.389,1.39,1.387,1.389,451,16368900.0,13890,13890,13870,13890,0,0,False,-16261297.0,True,False,True,True,False,False
588000,2025-12-01T09:50:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:50:00,2025-12-01 09:51:00,107603.0,1.389,1.39,1.387,1.389,451,16368900.0,13890,13890,13870,13890,0,0,False,-16261297.0,True,False,True,True,False,False
588000,2025-12-01T09:51:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:50:00,2025-12-01 09:51:00,164543.0,1.389,1.389,1.388,1.389,451,16368900.0,13890,13890,13870,13890,0,0,False,-16204357.0,True,True,False,True,False,False
588000,2025-12-01T09:51:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:50:00,2025-12-01 09:51:00,164543.0,1.389,1.389,1.388,1.389,451,16368900.0,13890,13890,13870,13890,0,0,False,-16204357.0,True,True,False,True,False,False
588000,2025-12-01T09:51:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:51:00,2025-12-01 09:52:00,164543.0,1.389,1.389,1.388,1.389,366,10304500.0,13890,13900,13870,13890,0,0,False,-10139957.0,True,False,False,True,False,False
