layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,effect_bp_ASSUMED,target_positive_detection,family_size,required_trading_days_CONDITIONAL,expected_eligible_pairs_CONDITIONAL,equivalent_years_NOT_FORECAST,independent_equivalent_n_required_NOT_actual_count,critical_z,not_confirmatory_sample_size
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,6,0.9,1,117,123,0.48267326732673266,85.09862265534703,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.8,7,1240,1301,5.115511551155115,909.16769917948,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.9,7,1569,1646,6.4727722772277225,1149.7758611944823,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,4,0.8,7,310,326,1.2788778877887788,227.29192479487,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,4,0.9,7,393,413,1.6212871287128712,287.4439652986206,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,6,0.8,7,138,145,0.5693069306930693,101.01863324216446,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,6,0.9,7,175,184,0.7219471947194719,127.75287346605361,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.8,14,1402,1471,5.7838283828382835,1027.943145155341,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.9,14,1750,1836,7.2194719471947195,1282.8925614114612,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,4,0.8,14,351,369,1.448019801980198,256.98578628883524,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,4,0.9,14,438,460,1.806930693069307,320.7231403528653,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,6,0.8,14,156,164,0.6435643564356436,114.21590501726013,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,6,0.9,14,195,205,0.8044554455445544,142.5436179346068,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.8,28,1564,1641,6.452145214521452,1146.1280951115323,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.9,28,1930,2024,7.962046204620462,1414.5460106657486,3.1237346303238454,True
